codigo,nome,descricao,categoria,secao,fabricante,numero_peca,unidade,localizacao,estoque_atual,estoque_minimo,estoque_maximo,status
16521,BALDE GRADUADO,BALDE GRADUADO,,Geral,,,UN,,1.0,0,0,Ativo
16829,RETIFICA 1/4 480W,RETIFICA 1/4 480W,,Ferramentas,,,UN,,1.0,0,0,Ativo
17316,OLEO 10W40,OLEO 10W40,,Motor e Transmissão,,,BD,,60.0,0,0,Ativo
17320,ELEMENTO FILTRANTE AR.,ELEMENTO FILTRANTE AR.,,Geral,,,UN,,6.0,0,0,Ativo
17321,FILTRO LUBRIFICANTE CARTUCHO MAN D8.34,FILTRO LUBRIFICANTE CARTUCHO MAN D8.34,,Motor e Transmissão,,,UN,,1.0,0,0,Ativo
17324,FILTRO COMBUSTIVEL NUMTRANSVENDA BLIND,FILTRO COMBUSTIVEL NUMTRANSVENDA BLIND,,Motor e Transmissão,,,UN,,2.0,0,0,Ativo
17332,FILTRO LUBRIFICANTE CARTUCHO MAN D08,FILTRO LUBRIFICANTE CARTUCHO MAN D08,,Motor e Transmissão,,,UN,,2.0,0,0,Ativo
17515,COLA 3M 73G JUNTAS MOTORES DIESEL,COLA 3M 73G JUNTAS MOTORES DIESEL,,Motor e Transmissão,,,UN,,10.0,0,0,Ativo
17536,LAMPADA H4 24V 75/70W,LAMPADA H4 24V 75/70W,,Elétrica,,,UN,,21.0,0,0,Ativo
17567,COLETE DE OXFORD AZUL ROYAL,COLETE DE OXFORD AZUL ROYAL,,EPI / Segurança,,,UN,,54.0,0,0,Ativo
17609,INTERRUPTOR DE PRESSAO DO OLEO TK,INTERRUPTOR DE PRESSAO DO OLEO TK,,Thermo King,,,UN,,1.0,0,0,Ativo
17625,PALHETA LIMPADOR PARA-BRISA,PALHETA LIMPADOR PARA-BRISA,,Geral,,,UN,,4.0,0,0,Ativo
17669,LAMPADA 2 POLOS 1034 24V,LAMPADA 2 POLOS 1034 24V,,Elétrica,,,UN,,16.0,0,0,Ativo
17670,LANTERNA LATERAL AMARELA LED,LANTERNA LATERAL AMARELA LED,,Elétrica,,,UN,,18.0,0,0,Ativo
17718,BUCHA FEIXE DE MOLAS DIANT ACCELO 815,BUCHA FEIXE DE MOLAS DIANT ACCELO 815,,Freio e Suspensão,,,UN,,5.0,0,0,Ativo
17719,"BUCHA MOLA JUM DT VW 11.130, 12.140 EMB","BUCHA MOLA JUM DT VW 11.130, 12.140 EMB",,Freio e Suspensão,,,UN,,5.0,0,0,Ativo
17807,PALHETA DO LIMPADOR PARABRISA,PALHETA DO LIMPADOR PARABRISA,,Geral,,,UN,,7.0,0,0,Ativo
17808,JOGO DE LONA FREIO MB 710,JOGO DE LONA FREIO MB 710,,Freio e Suspensão,,,UN,,2.0,0,0,Ativo
17820,REBITE 10X10 ALUMINIO,REBITE 10X10 ALUMINIO,,"Fixação e Diversos (parafusos, arruelas, etc.)",,,UN,,353.0,0,0,Ativo
17840,LAMPADA 67 24V,LAMPADA 67 24V,,Elétrica,,,UN,,7.0,0,0,Ativo
17857,JG LONA FREIO TRS STD 0013809,JG LONA FREIO TRS STD 0013809,,Freio e Suspensão,,,UN,,4.0,0,0,Ativo
8389,RELE DE PISCA 24V,RELE DE PISCA 24V,,Elétrica,,,UN,,3.0,0,0,Ativo
8392,MACANETA EXTERNA LADO DIREITO,MACANETA EXTERNA LADO DIREITO,,Direção e Cabine,,,UN,,1.0,0,0,Ativo
8395,"ARRUELA PRESSAO ZN 10,0 X 17,0 X 2,0 MM","ARRUELA PRESSAO ZN 10,0 X 17,0 X 2,0 MM",,"Fixação e Diversos (parafusos, arruelas, etc.)",,,UN,,2.0,0,0,Ativo
8753,PRISIONEIRO DO SOLENOIDE DE COMB,PRISIONEIRO DO SOLENOIDE DE COMB,,Elétrica,,,UN,,7.0,0,0,Ativo
8754,CONEXAO DE ESFERA,CONEXAO DE ESFERA,,"Fixação e Diversos (parafusos, arruelas, etc.)",,,UN,,2.0,0,0,Ativo
8776,CHAVE LONGA DE IMPACTO 1 L,CHAVE LONGA DE IMPACTO 1 L,,Ferramentas,,,UN,,1.0,0,0,Ativo
8880,CHAVE GARRAS PARA PORCA RANHURADA,CHAVE GARRAS PARA PORCA RANHURADA,,Ferramentas,,,UN,,1.0,0,0,Ativo
8881,CHAVE GARRAS PARA PORCA RANHURADA TUB,CHAVE GARRAS PARA PORCA RANHURADA TUB,,Ferramentas,,,UN,,1.0,0,0,Ativo
8882,CHAVE SEXTAVADA DE PARA PORCA CUBO 90MM,CHAVE SEXTAVADA DE PARA PORCA CUBO 90MM,,Ferramentas,,,UN,,1.0,0,0,Ativo
8992,ANEIS PISTAO STD,ANEIS PISTAO STD,,Motor e Transmissão,,,UN,,1.0,0,0,Ativo
9304,BUCHA ESTABILIZADORA DIAT. MB 710 PLUS,BUCHA ESTABILIZADORA DIAT. MB 710 PLUS,,Geral,,,UN,,3.0,0,0,Ativo
9326,CHAVE AJUSTAVEL ROBUST 191-12,CHAVE AJUSTAVEL ROBUST 191-12,,Ferramentas,,,UN,,1.0,0,0,Ativo
9505,LIXA DISCO 320,LIXA DISCO 320,,Ferramentas,,,UN,,1.0,0,0,Ativo
9546,CINTO DE SEGURANCA PARAQUEDISTA,CINTO DE SEGURANCA PARAQUEDISTA,,EPI / Segurança,,,UN,,2.0,0,0,Ativo
9550,TALABARTE DE CORDA NYLON,TALABARTE DE CORDA NYLON,,EPI / Segurança,,,UN,,2.0,0,0,Ativo
9572,MACANETA INTERNA MB 1620 LS - L/E - ORIG,MACANETA INTERNA MB 1620 LS - L/E - ORIG,,Direção e Cabine,,,UN,,1.0,0,0,Ativo
9756,GAS FLUIDO R-404A (0000676),GAS FLUIDO R-404A (0000676),,Thermo King,,,KG,,43.64,0,0,Ativo
9794,TERMINAL DIRECAO CAMINHAO VW F12000 - LD,TERMINAL DIRECAO CAMINHAO VW F12000 - LD,,Direção e Cabine,,,UN,,1.0,0,0,Ativo
10144,PORCA SEXTAVADO ACO INOX 1/4X20 F,PORCA SEXTAVADO ACO INOX 1/4X20 F,,"Fixação e Diversos (parafusos, arruelas, etc.)",,,UN,,3.0,0,0,Ativo
10173,TERMINAL DIRECAO C.VW/CARGO/F12000 LE,TERMINAL DIRECAO C.VW/CARGO/F12000 LE,,Direção e Cabine,,,UN,,1.0,0,0,Ativo
10183,FAROL VW 15.190,FAROL VW 15.190,,Elétrica,,,UN,,3.0,0,0,Ativo
10294,BRACO RETROV. VW 13.180/17.210 2005/19MM,BRACO RETROV. VW 13.180/17.210 2005/19MM,,Geral,,,UN,,3.0,0,0,Ativo
10306,INSERT P/TUBO 12MM,INSERT P/TUBO 12MM,,"Fixação e Diversos (parafusos, arruelas, etc.)",,,UN,,20.0,0,0,Ativo
10418,GAS R 22,GAS R 22,,Thermo King,,,UN,,15.1,0,0,Ativo
10516,BUZINA BIBITI 24VT,BUZINA BIBITI 24VT,,Elétrica,,,UN,,3.0,0,0,Ativo
10675,TAMPA TRASEIRA DO ALTERNADOR,TAMPA TRASEIRA DO ALTERNADOR,,Geral,,,UN,,3.0,0,0,Ativo
10748,CAMISA DO CILINDRO,CAMISA DO CILINDRO,,Motor e Transmissão,,,UN,,3.0,0,0,Ativo
11077,BIELA TK3,BIELA TK3,,Thermo King,,,UN,,1.0,0,0,Ativo
11109,CONEXAO UNIAO INSTANTANEA,CONEXAO UNIAO INSTANTANEA,,"Fixação e Diversos (parafusos, arruelas, etc.)",,,UN,,8.0,0,0,Ativo
11180,ARRUELA,ARRUELA,,"Fixação e Diversos (parafusos, arruelas, etc.)",,,UN,,44.0,0,0,Ativo
11266,BOMBA MANUAL PARA OLEO DE CAMBIO,BOMBA MANUAL PARA OLEO DE CAMBIO,,Motor e Transmissão,,,UN,,1.0,0,0,Ativo
11267,ESTANTE PINGADEIRA PARA OLEO COM FUNIL,ESTANTE PINGADEIRA PARA OLEO COM FUNIL,,Motor e Transmissão,,,UN,,3.0,0,0,Ativo
